sentence	spoiler	verb	page	trope	genre
Frasier isn't immune, as he and Niles wrote  The Crane Boys Mysteries  in high school.	False	True 0	Frasier	HerCodeNameWasMarySue	Documentary Comedy
Next time you need a deal made, call the Dalai Lama.	False	True 0	Frasier	HeroicComedicSociopath	Documentary Comedy
"Jane Leeves got pregnant late in the show's run and it was written as Daphne becoming fat due to compulsive eating, complete with a  Fat Suit ; she left the series to have the baby, by having Daphne going away to a spa in order to lose the weight (with the in-joke that Niles went to see her there, and she had ""just lost 9 pounds, 12 ounces""."	False	True 0	Frasier	HideYourPregnancy	Documentary Comedy
"Bulldog's deplorable behaviour in ""Bad Dog"" causes him to use  a pregnant woman  as a shield, and later on even  his own mother ."	True	True 0	Frasier	HumanShield	Documentary Comedy
As Frasier was the only one who saw what really happened, he spends the episode trying to get Bulldog to own up and stop taking advantage of the adulation.	True	True 0	Frasier	HumanShield	Documentary Comedy
Norashe's exposed as a hypocrite on live radio by her mother, has a nervous breakdown, and flees screaming at the top of her lungs.	False	True 0	Frasier	HumiliationConga	Documentary Comedy
Customs agents don't care about the caviar, but the  DVDs  for which the smugglers used the caviar as a front ), and even consider cutting it with cheaper stuff, while Roz becomes a generally mellow caviar junkie who would attack Frasier because she thinks he's holding out on a fix.	True	True 0	Frasier	ICantBelieveItsNotHeroin	Documentary Comedy
Frasier is the undisputed master of these.	False	True 0	Frasier	IHaveJustOneThingToSay	Documentary Comedy
Daphne just proves her right.	False	True 0	Frasier	ImpossiblyTackyClothes	Documentary Comedy
"Jeremy:  Well, roughly translated, it says, "" My dearest son, each day you redeem me."	False	True 0	Frasier	InTheOriginalKlingon	Documentary Comedy
Roz:  Please, it's all about ratings!	False	True 0	Frasier	IsThisThingStillOn	Documentary Comedy
A more minor one occurs when Frasier introduces one of the show's bloopers which involves Roz swearing violently at someone else while her mic was left on.	False	True 0	Frasier	IsThisThingStillOn	Documentary Comedy
Stephanie Walsh who we don't see but hear, when Frasier starts private practice again we meet her sister played by  Sarah Silverman , 17.	True	True 0	Frasier	KavorkaMan	Documentary Comedy
Samantha Pierce the lawyer with whom he ends up in the girl's role, 18.	True	True 0	Frasier	KavorkaMan	Documentary Comedy
Elevator Ellie, when he meets Charlotte (season 11) he gets on the elevator with a woman he slept with but doesn't remember (she starts yelling at him showing he does need a matchmaker), 19.	True	True 0	Frasier	KavorkaMan	Documentary Comedy
Duke's daughter Marie, and as I write this I remember 20. a woman at the station we see hiding in the booth with a bunch of other people for a little surprise party for Frasier.	True	True 0	Frasier	KavorkaMan	Documentary Comedy
Julia Wilcox  For most people I struggle to get to ten.	True	True 0	Frasier	KavorkaMan	Documentary Comedy
Daphne:  Oh, isn't that nice, well at least someone appreciates my mother tongue.	False	True 0	Frasier	LecherousLicking	Documentary Comedy
Frasier Well, she often claims that she is responsible for the success of our show.	False	True 0	Frasier	LoopholeAbuse	Documentary Comedy
"An interesting twist in ""Secret Admirer'; Frasier mistakes himself for the object of  Maris'  affections when it is actually Niles who is supposed to  receive the gifts ."	True	True 0	Frasier	MistakenIdentity	Documentary Comedy
It got really silly when they ended up having  two  fake ceremonies, before eventually spilling the beans.	True	True 0	Frasier	MyOwnPrivateIDo	Documentary Comedy
The woman turns out to be  a transgendered prostitute, and Frasier soon gets arrested by the police, who mistakenly think he's soliciting for her services.	True	True 0	Frasier	NestedStoryReveal	Documentary Comedy
The whole event ends up being publicized in the media, making Frasier a laughing stock.	True	True 0	Frasier	NestedStoryReveal	Documentary Comedy
Just before the episode ends,  it cuts back to the scene with Frasier in the car and the woman standing in the rain.	True	True 0	Frasier	NestedStoryReveal	Documentary Comedy
The station keeps her on because her polarizing personality is attracting listeners, until an attempt at goodwill by Frasier drives her away.	False	True 0	Frasier	NoCelebritiesWereHarmed	Documentary Comedy
Chopper Dave got a little too used to reporting from a helicopter.	False	True 0	Frasier	NoIndoorVoice	Documentary Comedy
The silent gag that runs over the credits at the end of each episode.	False	True 0	Frasier	OhCisco	Documentary Comedy
If you have a little information on that name, a lot of jokes about the character become  a lot more understandable .	False	True 0	Frasier	PropheticNames	Documentary Comedy
In fact,  The Matchmaker  won a GLAAD Award.	False	True 0	Frasier	QueerAsTropes	Documentary Comedy
There's also a rather amusing bit where Niles recounts a story Daphne told about a couple who would frequently experience  The Immodest Orgasm  right next to her bedroom wall at night, and her over-the-top efforts to show them up, culminating in this exchange: Frasier  Hold it !	False	True 0	Frasier	RashomonStyle	Documentary Comedy
Frasier hits on her, but she leaves with another man... dressed as Satan no less.	False	True 0	Frasier	RealLifeRelative	Documentary Comedy
He looks just like you did when I met you.	False	True 0	Frasier	ReplacementFlatCharacter	Documentary Comedy
"When Niles   Martin come to bail him out (disgusted that he would be so immoral) the prostitute is lead out of the other interrogation room,  no longer wearing ""her"" wig , and apologizes (in a now more masculine voice) for getting Frasier in trouble."	False	True 0	Frasier	RippedFromTheHeadlines	Documentary Comedy
 Daphne , who abandons  Donny  and exits with  Niles  in a Winnebago during the second part of the two-part episode  Something Borrowed, Someone Blue .	True	True 0	Frasier	RunawayBride	Documentary Comedy
: Frasier:  That is not funny!	False	True 0	Frasier	ScreamsLikeALittleGirl	Documentary Comedy
Ronee:  And you called it: he does scream like a woman.	False	True 0	Frasier	ScreamsLikeALittleGirl	Documentary Comedy
"What's wrong with ""brolly""?"	False	True 0	Frasier	SeparatedByACommonLanguage	Documentary Comedy
When Fredrick goes to the national spelling bee, they train him on posture, endurance and breathing, there are accusations of cheating, and it spills out into the streets.	False	True 0	Frasier	SeriousBusiness	Documentary Comedy
Frasier and Roz get this during a later episode, the scene card is titled  'Like Two Ships Sinking In The Night'   Which becomes relevant after Kenny intrudes on them,  making them realize it was all a mistake  just before they made it.	True	True 0	Frasier	ShipTease	Documentary Comedy
Frasier:  You just kept talking and talking and talking, and I guess that mouth of yours just ticked me off so much I just had to have it!	False	True 0	Frasier	ShutUpKiss	Documentary Comedy
I've been kissed to shut me up before.	False	True 0	Frasier	ShutUpKiss	Documentary Comedy
This was not that.	False	True 0	Frasier	ShutUpKiss	Documentary Comedy
Although when he gives it some serious thought he decides it's more down to seeing a respected mentor in a sexual context than latent homosexuality.	False	True 0	Frasier	StupidSexyFlanders	Documentary Comedy
""") When Frasier wakes up, Daphne reassures him it didn't happen and it was all a dream."	False	True 0	Frasier	ThatWasNotADream	Documentary Comedy
Only when Bebe has to quit smoking does she temporarily stop being unfettered.	False	True 0	Frasier	TheUnfettered	Documentary Comedy
Frasier often does this on his show.	False	True 0	Frasier	ViewersAreGeniuses	Documentary Comedy
"Daphne:  When I said to your father ""Dr."	False	True 0	Frasier	WhamLine	Documentary Comedy
In another episode, it's revealed that Martin regularly goes to  to the parole hearings of the man who shot him.	True	True 0	Frasier	WhatHappenedToTheMouse	Documentary Comedy
"The episode ends on an unusually somber note, when Martin  is asked if he wants to make a statement, he stands up and says, ""I've got nothing to say,"" then leaves."	True	True 0	Frasier	WhatHappenedToTheMouse	Documentary Comedy
He does this even though both the man and his mother had told Martin he's changed his ways and now repents his criminal actions.	True	True 0	Frasier	WhatHappenedToTheMouse	Documentary Comedy
This subplot is never followed in later episodes, and Martin is never shown going to  the parole hearing  again.	True	True 0	Frasier	WhatHappenedToTheMouse	Documentary Comedy
"[Niles mouths ""I know that""."	False	True 0	Frasier	WhereEverybodyKnowsYourFlame	Documentary Comedy
In thirty years as a couples therapist, I've never said what I'm about to say: Give up!	False	True 0	Frasier	WorthlessForeignDegree	Documentary Comedy
This strikes all of the cast members at least once in the series.	False	True 0	Frasier	YouNeedToGetLaid	Documentary Comedy
Frasier:  Go ahead, take your best shot.	False	True 0	Frasier	YourApprovalFillsMeWithShame	Documentary Comedy
Vod for kissing Mark after spending all night trying to pull his friend Riz.	False	True 0	FreshMeat	MistakenForRacist	Horror Talk-Show Sport Crime Fantasy Mystery Comedy Adult Romance Drama Action Documentary Reality-TV Short
:  JP,  though in episode 6 his father calls him Jonathan.	True	True 0	FreshMeat	OnlyKnownByTheirNickname	Horror Talk-Show Sport Crime Fantasy Mystery Comedy Adult Romance Drama Action Documentary Reality-TV Short
She's not overly keen on anyone finding out her name is actually Melissa.	True	True 0	FreshMeat	OnlyKnownByTheirNickname	Horror Talk-Show Sport Crime Fantasy Mystery Comedy Adult Romance Drama Action Documentary Reality-TV Short
Wonderfully subverted in the final episode .	True	True 0	FreshMeat	WillTheyOrWontThey	Horror Talk-Show Sport Crime Fantasy Mystery Comedy Adult Romance Drama Action Documentary Reality-TV Short
Later sorta- GenderFlipped  with  Jason Street , who likewise thought  he  was infertile.	True	True 0	FridayNightLights	ButICantBePregnant	Talk-Show Sport Crime Comedy Drama Action Documentary Short
The Lions manage to defeat the Panthers and deny them the path to the playoffs they assumed was theirs.	True	True 0	FridayNightLights	BoringFailureHero	Talk-Show Sport Crime Comedy Drama Action Documentary Short
In season five   it pretty much becomes  Boring Invincible Hero ; the Lions decide they want to go to State, and apparently nothing can slow them down.	True	True 0	FridayNightLights	BoringFailureHero	Talk-Show Sport Crime Comedy Drama Action Documentary Short
When he's on leave, it's clear he is more comfortable being a soldier to a father, leading to a  Disappeared Dad .	False	True 0	FridayNightLights	DadTheVeteran	Talk-Show Sport Crime Comedy Drama Action Documentary Short
A new Nakama is forged during Coach Taylor's time at the Lions.	False	True 0	FridayNightLights	Nakama	Talk-Show Sport Crime Comedy Drama Action Documentary Short
And so the jealous male bitchfest commenced.	False	True 0	FridayNightLights	NewOldFlame	Talk-Show Sport Crime Comedy Drama Action Documentary Short
All of the kids who graduated and went to college are  Put on a Bus , and for  all but Smash   The Bus Came Back .	True	True 0	FridayNightLights	PutOnABus	Talk-Show Sport Crime Comedy Drama Action Documentary Short
Jess is this during the fourth and fifth season.	False	True 0	FridayNightLights	SassyBlackWoman	Talk-Show Sport Crime Comedy Drama Action Documentary Short
"Because the show's fate was typically uncertain (the only time they knew they were coming back for another season was when they were picked up for two remaining seasons after the Season Three finale), we have two of these:  ""State,"" Season 1, in which  the Panthers win State, Tami discovers she's pregnant again, and it ends on Coach standing before the Panthers in the fieldhouse, the TMU decision suddenly not definitive , and  ""Tomorrow Blues,"" Season 3, where  the Panthers lose State despite a fantastic comeback; Billy and Mindy get married; Saracen, Riggins, Lyla, and Tyra get their happy endings; and Coach and Tami stand on the field of the East Dillon Lions, ready to start anew ."	True	True 0	FridayNightLights	SeriesFauxnale	Talk-Show Sport Crime Comedy Drama Action Documentary Short
Except in Texas, where it's  more serious  than  Serious Business .	False	True 0	FridayNightLights	SeriousBusiness	Talk-Show Sport Crime Comedy Drama Action Documentary Short
In the second season, apparently having realized where their true demographic is, the frequency of these has  exploded .	False	True 0	FridayNightLights	ShirtlessScene	Talk-Show Sport Crime Comedy Drama Action Documentary Short
"The Very Special Two-Parter ""Blinders""/""Black Eyes   Broken Hearts"" is triggered by an offhand racist remark by a coach involving an analogy to a ""junkyard dog."	False	True 0	FridayNightLights	VerySpecialEpisode	Talk-Show Sport Crime Comedy Drama Action Documentary Short
The final episode ends   showing us the fates of the characters eight months after the East Dillon Lions' final game .	True	True 0	FridayNightLights	WhereAreTheyNow	Talk-Show Sport Crime Comedy Drama Action Documentary Short
Though admittedly formulaic,  Friends  featured a top-notch cast and, at least in the early seasons, some legitimately outstanding writing.	False	True 0	Friends	OpeningCreditsCastParty	Horror Talk-Show Sci-Fi Thriller Comedy Action Biography Documentary Mystery Adventure Drama War Short Musical Crime Fantasy Music Family Reality-TV Animation News Romance Western
Friends  is famous for its  Idiosyncratic Episode Naming  that referenced how the episodes would be most likely to be referred to when discussed among casual fans.	False	True 0	Friends	OpeningCreditsCastParty	Horror Talk-Show Sci-Fi Thriller Comedy Action Biography Documentary Mystery Adventure Drama War Short Musical Crime Fantasy Music Family Reality-TV Animation News Romance Western
He was wearing a headdress with real fruit that he will later hand out to your friends as a healthy snack!	False	True 0	Friends	AmazinglyEmbarrassingParents	Horror Talk-Show Sci-Fi Thriller Comedy Action Biography Documentary Mystery Adventure Drama War Short Musical Crime Fantasy Music Family Reality-TV Animation News Romance Western
When Ross gets Rachel pregnant: Ross:  But we used a condom!	False	True 0	Friends	ButWeUsedACondom	Horror Talk-Show Sci-Fi Thriller Comedy Action Biography Documentary Mystery Adventure Drama War Short Musical Crime Fantasy Music Family Reality-TV Animation News Romance Western
She offers Chandler gum and at first he turns it down.	False	True 0	Friends	CantBelieveISaidThat	Horror Talk-Show Sci-Fi Thriller Comedy Action Biography Documentary Mystery Adventure Drama War Short Musical Crime Fantasy Music Family Reality-TV Animation News Romance Western
"Joey talks about the wonders of thongs in the  Cold Open  of ""The one with the Thanksgiving flashbacks""."	False	True 0	Friends	CharacterFilibuster	Horror Talk-Show Sci-Fi Thriller Comedy Action Biography Documentary Mystery Adventure Drama War Short Musical Crime Fantasy Music Family Reality-TV Animation News Romance Western
The character specifically points out that it's the first time she's ever with a man who isn't circumcised, so naturally the actor who portrays him can't be either.	False	True 0	Friends	CircumcisionAngst	Horror Talk-Show Sci-Fi Thriller Comedy Action Biography Documentary Mystery Adventure Drama War Short Musical Crime Fantasy Music Family Reality-TV Animation News Romance Western
And Erika, too  when Monica tells her she and Chandler decided to name one of the twins Erika, she assumes it's just a concidence , turning what could have been a  Crowning Moment of Heartwarming  into a funny moment.	True	True 0	Friends	CompletelyMissingThePoint	Horror Talk-Show Sci-Fi Thriller Comedy Action Biography Documentary Mystery Adventure Drama War Short Musical Crime Fantasy Music Family Reality-TV Animation News Romance Western
"""You still have your Christmas lights up?!"	False	True 0	Friends	CompletelyMissingThePoint	Horror Talk-Show Sci-Fi Thriller Comedy Action Biography Documentary Mystery Adventure Drama War Short Musical Crime Fantasy Music Family Reality-TV Animation News Romance Western
None of them ever came up before, or after.	False	True 0	Friends	CompressedVice	Horror Talk-Show Sci-Fi Thriller Comedy Action Biography Documentary Mystery Adventure Drama War Short Musical Crime Fantasy Music Family Reality-TV Animation News Romance Western
One episode centres on Ross moping because it's the anniversary of his first having sex with Carol (and also losing his virginity).	False	True 0	Friends	ContinuitySnarl	Horror Talk-Show Sci-Fi Thriller Comedy Action Biography Documentary Mystery Adventure Drama War Short Musical Crime Fantasy Music Family Reality-TV Animation News Romance Western
High school-aged Ross, Rachel, Chandler and Monica are played by the regular cast.	False	True 0	Friends	DawsonCasting	Horror Talk-Show Sci-Fi Thriller Comedy Action Biography Documentary Mystery Adventure Drama War Short Musical Crime Fantasy Music Family Reality-TV Animation News Romance Western
""" to which the two start sputtering and trying to deny it."	False	True 0	Friends	DidYouJustHaveSex	Horror Talk-Show Sci-Fi Thriller Comedy Action Biography Documentary Mystery Adventure Drama War Short Musical Crime Fantasy Music Family Reality-TV Animation News Romance Western
"Phoebe says to Chandler, ""Well, obviously not YOU."	False	True 0	Friends	DidYouJustHaveSex	Horror Talk-Show Sci-Fi Thriller Comedy Action Biography Documentary Mystery Adventure Drama War Short Musical Crime Fantasy Music Family Reality-TV Animation News Romance Western
 - Erica   the biological mother of Chandler and Monica's adopted kids  and arguably Phoebe's sister Ursula and Rachel's sister Amy.	True	True 0	Friends	DumbBlonde	Horror Talk-Show Sci-Fi Thriller Comedy Action Biography Documentary Mystery Adventure Drama War Short Musical Crime Fantasy Music Family Reality-TV Animation News Romance Western
See, the Netherlands are this make-believe place where Peter Pan and Tinkerbell come from.	False	True 0	Friends	EskimosArentReal	Horror Talk-Show Sci-Fi Thriller Comedy Action Biography Documentary Mystery Adventure Drama War Short Musical Crime Fantasy Music Family Reality-TV Animation News Romance Western
Ross If only he were a woman.	False	True 0	Friends	EvenTheGuysWantHim	Horror Talk-Show Sci-Fi Thriller Comedy Action Biography Documentary Mystery Adventure Drama War Short Musical Crime Fantasy Music Family Reality-TV Animation News Romance Western
Phoebe:  It's not  Santa's  plan!	False	True 0	Friends	EvilLaugh	Horror Talk-Show Sci-Fi Thriller Comedy Action Biography Documentary Mystery Adventure Drama War Short Musical Crime Fantasy Music Family Reality-TV Animation News Romance Western
")  Chandler has some serious issues with his  mother , and describes her as ""a Freudian nightmare""."	False	True 0	Friends	FreudianExcuse	Horror Talk-Show Sci-Fi Thriller Comedy Action Biography Documentary Mystery Adventure Drama War Short Musical Crime Fantasy Music Family Reality-TV Animation News Romance Western
Monica and Richard attempt this, but it doesn't work out.	False	True 0	Friends	FriendsWithBenefits	Horror Talk-Show Sci-Fi Thriller Comedy Action Biography Documentary Mystery Adventure Drama War Short Musical Crime Fantasy Music Family Reality-TV Animation News Romance Western
On realising that she looks good in it, she decides to keep it.	False	True 0	Friends	FurAndLoathing	Horror Talk-Show Sci-Fi Thriller Comedy Action Biography Documentary Mystery Adventure Drama War Short Musical Crime Fantasy Music Family Reality-TV Animation News Romance Western
Also, Ross and Monica's parents (as opposed to the parents of the rest of the gang).	False	True 0	Friends	HappilyMarried	Horror Talk-Show Sci-Fi Thriller Comedy Action Biography Documentary Mystery Adventure Drama War Short Musical Crime Fantasy Music Family Reality-TV Animation News Romance Western
A non-video game example, this is used word for word in TOW Rachel's Going Away Party between Rachel and Joey.	False	True 0	Friends	HeadsIWinTailsYouLose	Horror Talk-Show Sci-Fi Thriller Comedy Action Biography Documentary Mystery Adventure Drama War Short Musical Crime Fantasy Music Family Reality-TV Animation News Romance Western
Courtney Cox's pregnancy in the last few episodes, despite Monica's sterility being an important plot thread at that point.	False	True 0	Friends	HideYourPregnancy	Horror Talk-Show Sci-Fi Thriller Comedy Action Biography Documentary Mystery Adventure Drama War Short Musical Crime Fantasy Music Family Reality-TV Animation News Romance Western
""" and ends up punching Ross in the face to prove his point."	False	True 0	Friends	HitMeDammit	Horror Talk-Show Sci-Fi Thriller Comedy Action Biography Documentary Mystery Adventure Drama War Short Musical Crime Fantasy Music Family Reality-TV Animation News Romance Western
"""The One That Could Have Been"" is an  Alternate History  fantasy in which the friends' lives are all very different...yet by the end of the story they've all managed to end up in the same positions as their main-timeline counterparts."	False	True 0	Friends	InSpiteOfANail	Horror Talk-Show Sci-Fi Thriller Comedy Action Biography Documentary Mystery Adventure Drama War Short Musical Crime Fantasy Music Family Reality-TV Animation News Romance Western
Here is the other way around.	False	True 0	Friends	InvertedTrope	Horror Talk-Show Sci-Fi Thriller Comedy Action Biography Documentary Mystery Adventure Drama War Short Musical Crime Fantasy Music Family Reality-TV Animation News Romance Western
And when you've got her... Don't let her go.	False	True 0	Friends	IWantMyBelovedToBeHappy	Horror Talk-Show Sci-Fi Thriller Comedy Action Biography Documentary Mystery Adventure Drama War Short Musical Crime Fantasy Music Family Reality-TV Animation News Romance Western
just doesn't care if his wife is twice his age.	True	True 0	Friends	LikesOlderWomen	Horror Talk-Show Sci-Fi Thriller Comedy Action Biography Documentary Mystery Adventure Drama War Short Musical Crime Fantasy Music Family Reality-TV Animation News Romance Western
Ugly Naked Guy   Though he only stays until mid-Season 5 and Ross moves into his apartment .	True	True 0	Friends	NakedPeopleAreFunny	Horror Talk-Show Sci-Fi Thriller Comedy Action Biography Documentary Mystery Adventure Drama War Short Musical Crime Fantasy Music Family Reality-TV Animation News Romance Western
"""  Joey revealed in one episode that he cooks while naked."	False	True 0	Friends	NakedPeopleAreFunny	Horror Talk-Show Sci-Fi Thriller Comedy Action Biography Documentary Mystery Adventure Drama War Short Musical Crime Fantasy Music Family Reality-TV Animation News Romance Western
The dynamics of their relationship were never the same afterwards.	False	True 0	Friends	NothingIsTheSameAnymore	Horror Talk-Show Sci-Fi Thriller Comedy Action Biography Documentary Mystery Adventure Drama War Short Musical Crime Fantasy Music Family Reality-TV Animation News Romance Western
"When Phoebe suggests a relationship cleansing ritual, it turns out you can either go the burnt offering route or the ""dance naked with sticks"" route."	False	True 0	Friends	NudeNatureDance	Horror Talk-Show Sci-Fi Thriller Comedy Action Biography Documentary Mystery Adventure Drama War Short Musical Crime Fantasy Music Family Reality-TV Animation News Romance Western
I mean, she's thinking about running out on her wedding day....  (In the first episode, Rachel ran out on her wedding)  Okay, fine, but... I mean, look at the position she's putting him in.	True	True 0	Friends	ObliviousMockery	Horror Talk-Show Sci-Fi Thriller Comedy Action Biography Documentary Mystery Adventure Drama War Short Musical Crime Fantasy Music Family Reality-TV Animation News Romance Western
I mean, what's he going to do?	True	True 0	Friends	ObliviousMockery	Horror Talk-Show Sci-Fi Thriller Comedy Action Biography Documentary Mystery Adventure Drama War Short Musical Crime Fantasy Music Family Reality-TV Animation News Romance Western
He's like... Ross is going to run over there on the wedding day and break up the marriage?	True	True 0	Friends	ObliviousMockery	Horror Talk-Show Sci-Fi Thriller Comedy Action Biography Documentary Mystery Adventure Drama War Short Musical Crime Fantasy Music Family Reality-TV Animation News Romance Western
Who would do that?	True	True 0	Friends	ObliviousMockery	Horror Talk-Show Sci-Fi Thriller Comedy Action Biography Documentary Mystery Adventure Drama War Short Musical Crime Fantasy Music Family Reality-TV Animation News Romance Western
(Rachel did this when Ross   Emily were getting married) .... Okay, fine.	True	True 0	Friends	ObliviousMockery	Horror Talk-Show Sci-Fi Thriller Comedy Action Biography Documentary Mystery Adventure Drama War Short Musical Crime Fantasy Music Family Reality-TV Animation News Romance Western
But that's... you know, that was different.	True	True 0	Friends	ObliviousMockery	Horror Talk-Show Sci-Fi Thriller Comedy Action Biography Documentary Mystery Adventure Drama War Short Musical Crime Fantasy Music Family Reality-TV Animation News Romance Western
Although it did involve a lot of the same people.	True	True 0	Friends	ObliviousMockery	Horror Talk-Show Sci-Fi Thriller Comedy Action Biography Documentary Mystery Adventure Drama War Short Musical Crime Fantasy Music Family Reality-TV Animation News Romance Western
On set, Matt LeBlanc was referred to by his last name to avoid confusion with Matthew Perry while shooting.	False	True 0	Friends	OneSteveLimit	Horror Talk-Show Sci-Fi Thriller Comedy Action Biography Documentary Mystery Adventure Drama War Short Musical Crime Fantasy Music Family Reality-TV Animation News Romance Western
Phoebe, of course, has an elaborate and unlikely prediction for how it will take place.	False	True 0	Friends	PairTheSpares	Horror Talk-Show Sci-Fi Thriller Comedy Action Biography Documentary Mystery Adventure Drama War Short Musical Crime Fantasy Music Family Reality-TV Animation News Romance Western
At first, they are thrilled and refuse to turn the TV off (fearing it will go away if they do).	False	True 0	Friends	PoorMansPorn	Horror Talk-Show Sci-Fi Thriller Comedy Action Biography Documentary Mystery Adventure Drama War Short Musical Crime Fantasy Music Family Reality-TV Animation News Romance Western
"In the pilot, Ross says, ""I just want to be married again"" right before Rachel appears wearing a wedding dress."	False	True 0	Friends	RetroactiveWish	Horror Talk-Show Sci-Fi Thriller Comedy Action Biography Documentary Mystery Adventure Drama War Short Musical Crime Fantasy Music Family Reality-TV Animation News Romance Western
Chandler then squicks out Monica by asking why she's listening to the wall that has her brother on the other side.	False	True 0	Friends	RightThroughTheWall	Horror Talk-Show Sci-Fi Thriller Comedy Action Biography Documentary Mystery Adventure Drama War Short Musical Crime Fantasy Music Family Reality-TV Animation News Romance Western
Chandler's reaction to Ross' assertion that he doesn't repel women because he's been married 3 times.	False	True 0	Friends	SarcasticClapping	Horror Talk-Show Sci-Fi Thriller Comedy Action Biography Documentary Mystery Adventure Drama War Short Musical Crime Fantasy Music Family Reality-TV Animation News Romance Western
Phoebe and Joey had their moments (and legit kisses and even   an engagement, albeit played for laughs ), but most of them were with an obvious wink to  pairing spares .	True	True 0	Friends	ShipTease	Horror Talk-Show Sci-Fi Thriller Comedy Action Biography Documentary Mystery Adventure Drama War Short Musical Crime Fantasy Music Family Reality-TV Animation News Romance Western
"Rachel received one where her Mom and Dad both show up and the gang are forced to split up the party into both apartments; Monica got  two    one when she showed up drunk for her thirtieth birthday party, and one where she has just finished insulting her colleagues when they walk out of their hiding places to say ""Surprise...."""	False	True 0	Friends	ShockParty	Horror Talk-Show Sci-Fi Thriller Comedy Action Biography Documentary Mystery Adventure Drama War Short Musical Crime Fantasy Music Family Reality-TV Animation News Romance Western
Sometimes Ross is this, as well, given that he has a doctorate in paleontology.	False	True 0	Friends	SixStudentClique	Horror Talk-Show Sci-Fi Thriller Comedy Action Biography Documentary Mystery Adventure Drama War Short Musical Crime Fantasy Music Family Reality-TV Animation News Romance Western
And Mike Hannigan,   who marries Phoebe in the end .	True	True 0	Friends	SixthRanger	Horror Talk-Show Sci-Fi Thriller Comedy Action Biography Documentary Mystery Adventure Drama War Short Musical Crime Fantasy Music Family Reality-TV Animation News Romance Western
"Chandler goes to Yemen to fend off Janice in ""The One With All the Rugby""."	False	True 0	Friends	Snapback	Horror Talk-Show Sci-Fi Thriller Comedy Action Biography Documentary Mystery Adventure Drama War Short Musical Crime Fantasy Music Family Reality-TV Animation News Romance Western
"(""Y'know, it's not just Freud, it's  Freud!"	False	True 0	Friends	StylisticSuck	Horror Talk-Show Sci-Fi Thriller Comedy Action Biography Documentary Mystery Adventure Drama War Short Musical Crime Fantasy Music Family Reality-TV Animation News Romance Western
He wants it back.	False	True 0	Friends	ThrowItIn	Horror Talk-Show Sci-Fi Thriller Comedy Action Biography Documentary Mystery Adventure Drama War Short Musical Crime Fantasy Music Family Reality-TV Animation News Romance Western
"Chandler is said to have a third nipple, which he calls a ""nubbin""."	False	True 0	Friends	TripleNipple	Horror Talk-Show Sci-Fi Thriller Comedy Action Biography Documentary Mystery Adventure Drama War Short Musical Crime Fantasy Music Family Reality-TV Animation News Romance Western
Ross:  Yeah, well, Hurricane Gloria didn't break the porch swing, Monica did!	False	True 0	Friends	TruthTellingSession	Horror Talk-Show Sci-Fi Thriller Comedy Action Biography Documentary Mystery Adventure Drama War Short Musical Crime Fantasy Music Family Reality-TV Animation News Romance Western
Ross:  Monica and Chandler are living together!	False	True 0	Friends	TruthTellingSession	Horror Talk-Show Sci-Fi Thriller Comedy Action Biography Documentary Mystery Adventure Drama War Short Musical Crime Fantasy Music Family Reality-TV Animation News Romance Western
And got divorced!	False	True 0	Friends	TruthTellingSession	Horror Talk-Show Sci-Fi Thriller Comedy Action Biography Documentary Mystery Adventure Drama War Short Musical Crime Fantasy Music Family Reality-TV Animation News Romance Western
Jon Cryer  was considered for Chandler.	False	True 0	Friends	TheKingOfQueens	Horror Talk-Show Sci-Fi Thriller Comedy Action Biography Documentary Mystery Adventure Drama War Short Musical Crime Fantasy Music Family Reality-TV Animation News Romance Western
After this two-parter and one Season 4 guest appearance, she never appears again and arguably came down with  Chuck Cunningham Syndrome .	True	True 0	Friends	WhatHappenedToTheMouse	Horror Talk-Show Sci-Fi Thriller Comedy Action Biography Documentary Mystery Adventure Drama War Short Musical Crime Fantasy Music Family Reality-TV Animation News Romance Western
"Which was preceded by another wham in the very same episode - ""Do you think he knew I was here?"	False	True 0	Friends	WhamLine	Horror Talk-Show Sci-Fi Thriller Comedy Action Biography Documentary Mystery Adventure Drama War Short Musical Crime Fantasy Music Family Reality-TV Animation News Romance Western
""" ""I got off the plane."	False	True 0	Friends	WhamLine	Horror Talk-Show Sci-Fi Thriller Comedy Action Biography Documentary Mystery Adventure Drama War Short Musical Crime Fantasy Music Family Reality-TV Animation News Romance Western
""" There's also Chandler's pronunciation of the ""whipped"" onomatopoeia/gesture as ""Whoop-pah!"	False	True 0	Friends	YouSayTomato	Horror Talk-Show Sci-Fi Thriller Comedy Action Biography Documentary Mystery Adventure Drama War Short Musical Crime Fantasy Music Family Reality-TV Animation News Romance Western
Olivia Dunham Fringe  is a sci-fi TV series created by  J. J. Abrams  and ongoing J.J.	False	True 0	Fringe	RunningGag	Sci-Fi Mystery Comedy Drama Short Documentary
Peter warns her about the risk of a  Portal Cut , and she barely stops her car in time because of it.	True	True 0	Fringe	AlwaysClose	Sci-Fi Mystery Comedy Drama Short Documentary
The entire front of the engine is cut off, and moments later that would've included her as well.	True	True 0	Fringe	AlwaysClose	Sci-Fi Mystery Comedy Drama Short Documentary
